"job_id","company","employer_logo","employer_website","employer_company_type","employer_linkedin","job_publisher","job_employment_type","title","job_url","job_apply_is_direct","job_apply_quality_score","apply_options","description","job_is_remote","job_posted_at_timestamp","date_posted","location","job_state","job_country","job_latitude","job_longitude","job_benefits","job_google_link","job_offer_expiration_datetime_utc","job_offer_expiration_timestamp","job_required_experience","job_required_skills","job_required_education","job_experience_in_place_of_education","job_min_salary","job_max_salary","job_salary_currency","job_salary_period","job_highlights","job_job_title","job_posting_language","job_onet_soc","job_onet_job_zone","job_occupational_categories","job_naics_code","job_naics_name","display_title","display_company","tfidf_score","sbert_similarity","keyword_score","combined_score"
"IhwdGRHxy_mdWZO5AAAAAA==","tietalent","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRFBa5_KIk0pBYIlv_Raelm8bt-Fu47LFOGlMv&s=0","","","","LinkedIn","FULLTIME","uxdesigner mwd senior refnr 42997","https://ch.linkedin.com/jobs/view/ux-designer-m-w-d-senior-ref-nr-42997-at-tietalent-4038996989?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",False,0.593,"[{'publisher': 'LinkedIn', 'apply_link': 'https://ch.linkedin.com/jobs/view/ux-designer-m-w-d-senior-ref-nr-42997-at-tietalent-4038996989?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}, {'publisher': 'TieTalent', 'apply_link': 'https://tietalent.com/de/jobs/p-161422/zurich-ux-designer-mwd-senior-refnr-42997?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}, {'publisher': 'Jooble', 'apply_link': 'https://ch.jooble.org/jdp/-488589953435432659?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}]","uxdesigner mwd senior refnr 42997 für unseren kunden in zürich suchen wir einen uxdesigner mwd senior  key facts  start 07102024  dauer 24 monate   verlängerungsoption  auslastung 100   einsatzart personalverleih  einsatzort zürich  einsatzland schweiz  ihre aufgaben  gesamtheitliche uxgestaltung inkl research usertests stakeholdermanagement etc gestaltung und evaluierung von flows  screens zusammen mit dem business  sicherstellen dass die markenrichtlinien eingehalten und die design und interaktionspatterns aus dem designsystem verwendet werden  sichert die qualität von uxui in der umsetzung  mussanforderungen  managed die verschiedenen anforderungssteller und deren fachbedürfnisse erarbeitet die dazu benötigten datengrundlagen research tests etc und kann diese in userflows und screens umwandeln  fundierte kenntnisse zu digitalen uxuigestaltungsprinzipien  ist vertraut mit dem umgang von design systemen kann diese anwenden und wo nötig erweitern  technologieanforderungen figma von vorteil auch confluence und jira sowie diverse uxtesting tools  wir freuen uns auf ihre kontaktaufnahme  ihr direkter ansprechpartner bei wavestone  vivek kandiah  telefon 41 76 223 85 15  email vivekkandiahwavestoneeu  j18808ljbffr",False,1727725276,"Sep 30","Zürich","ZH","CH",47.37689,8.541694,"","https://www.google.com/search?gl=us&hl=en&rciv=jb&q=ux+research+in+switzerland&start=0&chips=date_posted:3days&schips=date_posted;3days&lrad=50&udm=8#vhid=vt%3D20/docid%3DIhwdGRHxy_mdWZO5AAAAAA%3D%3D&vssid=jobs-detail-viewer","2024-10-30T19:41:15.000Z",1730317275.0,"{'no_experience_required': 'false', 'required_experience_in_months': None, 'experience_mentioned': 'false', 'experience_preferred': 'false'}","","{'postgraduate_degree': 'false', 'professional_certification': 'false', 'high_school': 'false', 'associates_degree': 'false', 'bachelors_degree': 'true', 'degree_mentioned': 'false', 'degree_preferred': 'false', 'professional_certification_mentioned': 'false'}",False,"","","","","{}","","de","27102400","4","","","","UX-Designer (m/w/d) Senior (Ref.Nr.: 42997)","TieTalent",0.6099332741106456,0.9873347282409668,0,0.7986340011758062
"_cdSLErnf6VwncnhAAAAAA==","flowit ag","","http://flowit.ai","","","Indeed Suisse","FULLTIME","uxui designer","https://ch-fr.indeed.com/viewjob?jk=c7372f1fb91a808e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",False,0.5952,"[{'publisher': 'Indeed Suisse', 'apply_link': 'https://ch-fr.indeed.com/viewjob?jk=c7372f1fb91a808e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}, {'publisher': 'Jooble', 'apply_link': 'https://ch.jooble.org/jdp/-4737138241897020127?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}, {'publisher': 'Jobs Trabajo.org', 'apply_link': 'https://ch.trabajo.org/stellenangebot-2889-fa1e6e72fa4efc852dda844c4975054e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}, {'publisher': 'Job Courier', 'apply_link': 'https://jobroom.jobcourier.ch/job/view-job.php?id=6400456&job-title=ux-ui-designer-m-w&sector=anderes&company-name=one-agency-it-recruitment-experts&language=fr&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}]","uxui designer are you excited about revolutionizing the world of personal development  at flowit we are revolutionizing people development with a unique aipowered platform that helps companies better develop and retain their employees we are looking for our first inhouse uxui designer in this role you will play a key part in making our platform both userfriendly and visually appealing if you thrive in a dynamic fastgrowing environment this could be the perfect opportunity for you  why us  the company flowit is at the forefront of digital people development and offers you the chance to actively support a growing startup  responsibility as our first inhouse designer you will shape the ux of our platform and take on additional uirelated tasks  teamwork youll work closely with our tech team and product managers to improve existing products and develop new functionality  flexibility this is a fulltime position 80100 with two days per week in our zurich office and the option for flexible remote work  challenge lead the entire design process from user research and prototyping to implementation in a fastpaced growing environment  your mission  conduct user research to better understand the needs of our users  develop wireframes prototypes and user journeys to optimize the user experience  collaborate closely with the tech team product designers and product managers to integrate designs into our platform  design attractive and intuitive user interfaces ui that enhance both the look and functionality of our software  conduct usability tests and adjust designs based on user feedback  document and communicate design decisions to the development team  your profile  at least 2 years of experience in ux design ideally in a b2b saas environment experience in hr tech is a plus  experience with tools like figma and jira  strong understanding of user research prototyping and usability testing  solid knowledge of ui design to create functional and aesthetically pleasing user interfaces  a team player with the ability to work independently and closely with other teams  creative analytical thinking with a talent for solving complex problems in a userfriendly way  fluent in english german is a plus  about us  flowits genaipowered people development platform helps companies to drive engagement retain employees and cut costs of churn by up to 50 companies are moving away from the classic employee appraisals flowit links the data and supports it with humancentered ai a digital coach proactively helps getting away from the waterfall model towards agile learning feedback and feedforward at eye level customers like bernina grand resort bad ragaz bindella university hospital basel and many more trust in flowit and have decided to take their people development to the next level with the help of the platform",True,1727726420,"Sep 30","","ZH","CH",47.428963,8.56531,"","https://www.google.com/search?gl=us&hl=en&rciv=jb&q=ux+research+in+switzerland&start=0&chips=date_posted:3days&schips=date_posted;3days&lrad=50&udm=8#vhid=vt%3D20/docid%3D_cdSLErnf6VwncnhAAAAAA%3D%3D&vssid=jobs-detail-viewer","2025-01-28T21:45:41.000Z",1738100741.0,"{'no_experience_required': 'false', 'required_experience_in_months': '24', 'experience_mentioned': 'true', 'experience_preferred': 'true'}","","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': 'false', 'degree_preferred': 'false', 'professional_certification_mentioned': 'false'}",False,"","","","","{}","Ux/ui designer","en","27102400","4","","","","UX/UI Designer","FLOWIT AG",1.0,0.0,0,0.5
"oAmEW0lkvGlBSipcAAAAAA==","expedia lodging partner services sàrl","","http://www.expedia.ch","","","Jobs.ch","FULLTIME","ux design intern  june 2025  london","https://www.jobs.ch/de/stellenangebote/detail/f8b4b349-18f1-4bec-a265-a3c26758b8ae/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",False,0.567,"[{'publisher': 'Jobs.ch', 'apply_link': 'https://www.jobs.ch/de/stellenangebote/detail/f8b4b349-18f1-4bec-a265-a3c26758b8ae/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'is_direct': False}]","ux design intern  june 2025  london expedia group brands power global travel for everyone everywhere we design cuttingedge tech to make travel smoother and more memorable and we create groundbreaking solutions for our partners our diverse vibrant and welcoming community is essential in driving our success  why join us  to shape the future of travel people must come first guided by our values and leadership agreements we foster an open culture where everyone belongs differences are celebrated and know that when one of us wins we all win  we provide a full benefits package including exciting travel perks generous timeoff parental leave a global hybrid work setup with some pretty cool offices and career development resources all to fuel our employees passion for travel and ensure a rewarding career journey were building a more open world join us  note applications will remain live for at least 5 business days when the role is posted the post will be removed when application targets are met  by joining the expedia group 2025 global summer internship program as a user experience design intern youll fully integrate into our inclusive community and gain a wellrounded experience of life at expedia group our global program offers an exciting opportunity to contribute to businesscritical projects by developing your skills through tailored learning and training providing ongoing support and offering insightful internspecific events to build knowledge and community were building a more open world join us  internship program highlights  onboarding connect with your cohort receive support and set up for success in your first week  intern bootcamp rolespecific technical and professional skills learning both inperson and virtual delivered in your first week to help you get set up for success  meaningful work and projects interns join a variety of expedia group teams and directly contribute to business workstreams and priorities at the conclusion of the internship interns present their work to team members and senior leadership  learning series interactive workshops delivered by our learning team to build professional  soft skills and support development including topics such as personal branding and presentation skills  leadership series exclusive internonly events with our travel leadership team leaders to learn about their career journeys hear their views on industry and company trends and ask questions  social events regular fun events organized for each regional cohort so you can get to know others enjoy the expedia group culture and enjoy some downtime  mentorship mentors are assigned to each individual intern to support your development and learning throughout the program and are also a great way to build your understanding and network at eg  support coaching and advice provided by managers team navigators buddies and a specific point of contact per region from emerging talent  careers  what youll do  seek guidance and input from team members to understand the problem or needs statement and the highlevel product strategy  participate in discussions about project tasks timelines and priorities providing input based on project status  develop an understanding of user and business requirements associated metrics and how team goals relate to broader expedia group goals  learn how to identify customer problems and market opportunities and share insights with product managers pms  leverage the internal research library to become familiar with users needs personas journeys and existing solutions  participate in research observation create artifacts to be tested and capture notes for iterative improvement  attend sessions for research synthesis and learn how to identify and appropriately document insights  learn how to apply basic research and test findings to generate concepts and inform design decisions  understand basic principles of user interaction and apply them in design demonstrate foundational writing skills  consider basic accessibility principles in design decisions and explore ways to address the needs of diverse populations  create flows journeys and prototypes to clearly communicate and visualize design concepts and narratives  collaborate with developers to understand basic constraints feasibility and implementation requirements  demonstrate a learning mindset to develop awareness of design tools technologies and best practices  become familiar with all components of the expedia design system and adhere to basic brand guidelines and principles in design work  demonstrate an understanding of basic design methods and approaches particularly humancentered design hcd principles to ensure a strong focus on users  establish awareness of timelines and project review cycles and complete assigned tasks within specified timelines  participate in collaborative discussions and contribute ideas document decisionmaking rationale  seek out and act upon feedback on design and methodology choices within the ux group present and participate in design reviews  who you are  we know that many potential candidates can be hesitant to apply for a job if they arent sure that they meet all the criteria shared if you meet all the criteria labelled must and are interested in this role we encourage you to apply  must be available to commit to the full program dates below june 23august 29 2025  must be graduating with an undergraduate or integrated masters degree in a technical subject between december 2025 and july 2026  must be willing to relocate to city of job location if outside commuting distance  must commit to full time hours every week  must be graduating from university in the same country of internship location  must have no more than 2 years of professional experience in a similar role  must have working knowledge of figma  helpful to have basic knowledge of presentation tools such as powerpoint keynote andor google slides  what we offer  successful candidates will receive a competitive compensation package including the benefits below and others  34000 gbp prorota  hybrid work policy  travel discounts  opportunity to receive a fulltime permanent offer after graduation and 12 months of customized support from our emerging talent  careers team  community support through expedia groups inclusion business groups  relocation support if eligible  next steps  apply now our dedicated emerging talent  careers team will review your application and suitable applicants will be encouraged to complete an immersive strength based online assessment as the first step depending on the role profile you are applying to selected candidates may also be asked to take a skillsbased screening assessment  candidates who are invited to a final round interview will have the opportunity to meet with members of our team through two virtual interviews covering both technical and behavioral skills related to the position these interviews will also be a chance for you to learn more about us too  our commitments  expedia group 2023 global impact report  expedia group has made commitments that we hope will propel us forward on the path to progress including our aspirational hiring goal for women to occupy 50 percent of roles at all levels by the end of 2025  accommodation requests  if you need assistance with any part of the application or recruiting process due to a disability or other physical or mental health conditions please reach out to our recruiting accommodations team through the accommodation request  we are proud to be named as a best place to work on glassdoor in 2024 and be recognized for awardwinning culture by organizations like forbes time disabilityin and others  expedia groups family of brands includes brand expedia hotelscom expedia partner solutions vrbo trivago orbitz travelocity hotwire wotif ebookers cheaptickets expedia group media solutions expedia local expert carrentalscom and expedia cruises  2024 expedia inc all rights reserved trademarks and logos are the property of their respective owners cst 202903050  employment opportunities and job offers at expedia group will always come from expedia groups talent acquisition and hiring teams never provide sensitive personal information to someone unless youre confident who the recipient is expedia group does not extend job offers via email or any other messaging tools to individuals with whom we have not made prior contact our email domain email schreiben the official website to find and apply for job openings at expedia group is careersexpediagroupcomjobs  expedia is committed to creating an inclusive work environment with a diverse workforce all qualified applicants will receive consideration for employment without regard to race religion gender sexual orientation national origin disability or age",False,1727772252,"Oct 01","Genève","GE","CH",46.2155,6.147252,"","https://www.google.com/search?gl=us&hl=en&rciv=jb&q=ux+research+in+switzerland&start=0&chips=date_posted:3days&schips=date_posted;3days&lrad=50&udm=8#vhid=vt%3D20/docid%3DoAmEW0lkvGlBSipcAAAAAA%3D%3D&vssid=jobs-detail-viewer","","","{'no_experience_required': 'false', 'required_experience_in_months': '24', 'experience_mentioned': 'true', 'experience_preferred': 'false'}","","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': 'true', 'degree_preferred': 'true', 'professional_certification_mentioned': 'false'}",False,"","","","","{}","","en","27102400","4","['Web Publishing / Design']","","","UX Design Intern - June 2025 - London","Expedia Lodging Partner Services Sàrl",0.0,1.0,0,0.5
